id_voo,numero_voo,data_voo,ano,mes,mes_nome,ano_mes,dia_semana,origem_cidade,origem_iata,origem_uf,origem_regiao,origem_lat,origem_lon,destino_cidade,destino_iata,destino_uf,destino_regiao,destino_lat,destino_lon,rota,distancia_km,tipo_aeronave,capacidade_aeronave,passageiros,taxa_ocupacao,preco_medio_passagem,receita_voo,custo_voo,lucro_voo,atraso_minutos,situacao_voo,motivo_atraso_cancelamento,duracao_minutos,satisfacao_passageiros
V100039,VX6894,2024-09-07,2024,9,Setembro,2024-09,Sábado,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Boeing 737-800,186,147,0.7903,224.5600,33010.3200,27150.5800,5859.7400,1.0000,Pontual,Sem intercorrência,50,3.6000
V100040,VX2083,2024-09-07,2024,9,Setembro,2024-09,Sábado,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,ATR 72-600,70,54,0.7714,194.0400,10478.1600,10672.2100,-194.0500,8.0000,Pontual,Sem intercorrência,49,3.7000
V100041,VX6171,2024-09-07,2024,9,Setembro,2024-09,Sábado,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CNF - SDU,374,Boeing 737-800,186,137,0.7366,209.1500,28653.5500,30457.5300,-1803.9800,0.0000,Pontual,Sem intercorrência,57,3.2000
V100042,VX6156,2024-09-07,2024,9,Setembro,2024-09,Sábado,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,CGB - CNF,1361,Airbus A320neo,180,120,0.6667,323.9700,38876.4000,50647.9000,-11771.5000,12.0000,Pontual,Sem intercorrência,134,3.3000
V100043,VX4936,2024-09-07,2024,9,Setembro,2024-09,Sábado,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,FOR - POA,3204,Boeing 787-9,296,218,0.7365,585.7600,127695.6800,129282.2400,-1586.5600,3.0000,Pontual,Sem intercorrência,265,4.4000
V100044,VX8071,2024-09-07,2024,9,Setembro,2024-09,Sábado,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,GIG - GYN,928,Boeing 737-800,186,117,0.6290,255.6100,29906.3700,41299.9400,-11393.5700,3.0000,Pontual,Sem intercorrência,92,5.0000
V100045,VX1782,2024-09-07,2024,9,Setembro,2024-09,Sábado,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CNF - SDU,374,Embraer E195-E2,136,111,0.8162,241.4200,26797.6200,18552.6700,8244.9500,0.0000,Pontual,Sem intercorrência,40,3.8000
V100046,VX5699,2024-09-07,2024,9,Setembro,2024-09,Sábado,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,GRU - CNF,496,Embraer E195-E2,136,87,0.6397,209.9100,18262.1700,21807.9300,-3545.7600,0.0000,Pontual,Sem intercorrência,65,4.6000
V100047,VX8349,2024-09-08,2024,9,Setembro,2024-09,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,ATR 72-600,70,59,0.8429,241.6400,14256.7600,11319.8400,2936.9200,3.0000,Pontual,Sem intercorrência,50,3.3000
V100048,VX4512,2024-09-08,2024,9,Setembro,2024-09,Domingo,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,CGH - CNF,524,Airbus A320neo,180,117,0.6500,254.4800,29774.1600,32184.7400,-2410.5800,63.0000,Atrasado,Restrição de tráfego aéreo,77,4.1000
V100049,VX7282,2024-09-08,2024,9,Setembro,2024-09,Domingo,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,NAT - SDU,2081,Airbus A320neo,180,166,0.9222,417.3100,69273.4600,58922.1600,10351.3000,0.0000,Pontual,Sem intercorrência,176,4.0000
V100050,VX8959,2024-09-08,2024,9,Setembro,2024-09,Domingo,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,POA - GRU,866,Boeing 737-800,186,173,0.9301,315.9100,54652.4300,42325.2000,12327.2300,4.0000,Pontual,Sem intercorrência,97,4.7000
V100051,VX2803,2024-09-08,2024,9,Setembro,2024-09,Domingo,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Recife,REC,PE,Nordeste,-8.1264,-34.9236,GRU - REC,2101,Airbus A321neo,220,191,0.8682,401.9300,76768.6300,71683.1000,5085.5300,0.0000,Pontual,Sem intercorrência,174,4.4000
V100052,VX8277,2024-09-08,2024,9,Setembro,2024-09,Domingo,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,GRU - FLN,515,Boeing 737-800,186,162,0.8710,224.8700,36428.9400,28265.2500,8163.6900,33.0000,Atrasado,Condições meteorológicas,56,4.2000
V100053,VX4029,2024-09-08,2024,9,Setembro,2024-09,Domingo,Manaus,MAO,AM,Norte,-3.0386,-60.0497,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,MAO - SSA,2629,Airbus A320neo,180,129,0.7167,594.4600,76685.3400,64060.7900,12624.5500,37.0000,Atrasado,Atraso da aeronave anterior,227,3.3000
V100054,VX8357,2024-09-08,2024,9,Setembro,2024-09,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,SDU - FLN,757,Airbus A320neo,180,149,0.8278,259.9000,38725.1000,31616.1000,7109.0000,2.0000,Pontual,Sem intercorrência,72,4.7000
V100055,VX2183,2024-09-09,2024,9,Setembro,2024-09,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,Boeing 737-800,186,162,0.8710,171.4000,27766.8000,26741.7800,1025.0200,1.0000,Pontual,Sem intercorrência,50,4.2000
V100056,VX4418,2024-09-09,2024,9,Setembro,2024-09,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,GRU - CWB,359,Boeing 737-800,186,114,0.6129,220.8600,25178.0400,29542.2100,-4364.1700,153.0000,Atrasado,Atraso da aeronave anterior,53,3.4000
V100057,VX3021,2024-09-09,2024,9,Setembro,2024-09,Segunda,Vitória,VIX,ES,Sudeste,-20.2581,-40.2864,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,VIX - GYN,1025,Airbus A320neo,180,156,0.8667,306.0100,47737.5600,42840.2200,4897.3400,0.0000,Pontual,Sem intercorrência,103,4.1000
V100058,VX1208,2024-09-09,2024,9,Setembro,2024-09,Segunda,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,GIG - GRU,337,Embraer E195-E2,136,111,0.8162,203.7200,22612.9200,18841.4100,3771.5100,30.0000,Atrasado,Condições meteorológicas,44,3.7000
V100059,VX5864,2024-09-09,2024,9,Setembro,2024-09,Segunda,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Boeing 737-800,186,162,0.8710,174.5100,28270.6200,29898.3400,-1627.7200,1.0000,Pontual,Sem intercorrência,71,4.3000
V100060,VX9472,2024-09-09,2024,9,Setembro,2024-09,Segunda,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,CGH - CNF,524,Embraer E195-E2,136,110,0.8088,199.8400,21982.4000,20824.2600,1158.1400,29.0000,Atrasado,Restrição de tráfego aéreo,54,3.7000
V100061,VX5058,2024-09-09,2024,9,Setembro,2024-09,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,BSB - CGB,877,Airbus A321neo,220,172,0.7818,252.5400,43436.8800,42408.4700,1028.4100,66.0000,Atrasado,Congestionamento do aeroporto,94,2.6000
V100062,VX8469,2024-09-09,2024,9,Setembro,2024-09,Segunda,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,Manaus,MAO,AM,Norte,-3.0386,-60.0497,GYN - MAO,1920,Airbus A320neo,180,166,0.9222,421.7800,70015.4800,54160.6800,15854.8000,5.0000,Pontual,Sem intercorrência,158,5.0000
V100063,VX7576,2024-09-09,2024,9,Setembro,2024-09,Segunda,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,CWB - FLN,246,ATR 72-600,70,53,0.7571,206.2200,10929.6600,13394.2200,-2464.5600,6.0000,Pontual,Sem intercorrência,60,4.0000
V100064,VX9301,2024-09-09,2024,9,Setembro,2024-09,Segunda,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,CGH - GIG,360,Embraer E195-E2,136,99,0.7279,223.1800,22094.8200,21950.8500,143.9700,6.0000,Pontual,Sem intercorrência,57,4.0000
V100065,VX3896,2024-09-09,2024,9,Setembro,2024-09,Segunda,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,SSA - SDU,1224,Embraer E195-E2,136,100,0.7353,300.6000,30060.0000,36019.7900,-5959.7900,5.0000,Pontual,Sem intercorrência,112,4.4000
V100066,VX5687,2024-09-10,2024,9,Setembro,2024-09,Terça,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,GRU - CNF,496,ATR 72-600,70,59,0.8429,185.4100,10939.1900,13439.9300,-2500.7400,0.0000,Pontual,Sem intercorrência,72,3.8000
V100067,VX5481,2024-09-10,2024,9,Setembro,2024-09,Terça,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,VCP - CNF,498,Embraer E195-E2,136,122,0.8971,257.5100,31416.2200,22148.4400,9267.7800,5.0000,Pontual,Sem intercorrência,54,4.6000
V100068,VX8049,2024-09-10,2024,9,Setembro,2024-09,Terça,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,CGH - GIG,360,Boeing 737-800,186,166,0.8925,174.5400,28973.6400,28859.6600,113.9800,4.0000,Pontual,Sem intercorrência,52,3.9000
V100069,VX7488,2024-09-10,2024,9,Setembro,2024-09,Terça,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Airbus A320neo,180,149,0.8278,199.7300,29759.7700,24124.0300,5635.7400,0.0000,Pontual,Sem intercorrência,50,4.2000
V100070,VX3158,2024-09-10,2024,9,Setembro,2024-09,Terça,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,VCP - CWB,348,ATR 72-600,70,54,0.7714,193.1700,10431.1800,12151.1600,-1719.9800,59.0000,Atrasado,Congestionamento do aeroporto,49,3.7000
V100071,VX4101,2024-09-10,2024,9,Setembro,2024-09,Terça,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Boeing 737-800,186,128,0.6882,261.2300,33437.4400,39876.9200,-6439.4800,63.0000,Atrasado,Congestionamento do aeroporto,94,3.9000
V100072,VX4182,2024-09-10,2024,9,Setembro,2024-09,Terça,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,FOR - FLN,2861,Airbus A321neo,220,156,0.7091,430.9700,67231.3200,91818.0400,-24586.7200,31.0000,Atrasado,Documentação/embarque de passageiros,241,4.0000
V100073,VX7781,2024-09-10,2024,9,Setembro,2024-09,Terça,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,NAT - GIG,2075,Airbus A321neo,220,187,0.8500,429.1900,80258.5300,74714.5900,5543.9400,0.0000,Pontual,Sem intercorrência,179,4.6000
V100074,VX6471,2024-09-10,2024,9,Setembro,2024-09,Terça,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Belém,BEL,PA,Norte,-1.3792,-48.4763,BSB - BEL,1612,Airbus A321neo,220,162,0.7364,409.2800,66303.3600,57132.3300,9171.0300,7.0000,Pontual,Sem intercorrência,146,3.7000
V100075,VX4551,2024-09-10,2024,9,Setembro,2024-09,Terça,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,Recife,REC,PE,Nordeste,-8.1264,-34.9236,SSA - REC,649,Boeing 737-800,186,117,0.6290,292.4200,34213.1400,30609.6200,3603.5200,22.0000,Atrasado,Atraso da aeronave anterior,72,4.6000
